//Index   Message
278  	  "%s destruiu o Robô Amarelo"
279  	  "%s destruiu o Guerreiro Dourado"
280  	  "%s destruiu o Demônio Dourado"
281  	  "%s destruiu o Rei de Ferro"
282  	  "%s destruiu o Rei Peixe Dourado"
283  	  "%s destruiu Vênus"
284  	  "%s destruiu o Assassino Dourado"
285  	  "%s destruiu o Rei Musk Dourado"
286  	  "%s destruiu o Cavaleiro Blindado Dourado"
287  	  "%s destruiu o Demônio da Armadura Dourada"
288  	  "%s destruiu o Demônio de Pedra da Armadura Dourada"
289  	  "%s destruiu a Armadura Dourada"
290  	  "%s destruiu Hoang Kim Moc Giap"
291  	  "%s destruiu o Demônio Vermelho Dourado"
292  	  "%s destruiu o Guerreiro Dourado"
293  	  "%s destruiu a Chama Dourada"
294  	  "%s destruiu Kim Long"
295  	  "%s destruiu o Coelho de Armadura Dourada"
304       "Ice Walker aparece!"
305       "você não é forte o suficiente para participar do Double Goer"
306       "O Andarilho do Gelo foi destruído!"
320       "Selupan aparece! O portão do incubatório fechará em %d minutos"
321       "O portão do incubatório está fechado"
322       "O jogador %s destrói Selupan!"
323       "O portão do incubatório será reaberto em %d minuto(s)"
324       "O portão do incubatório está aberto!"
325       "O portão do incubatório está fechado"
326       "[Portão do Incubatório] será aberto em %d Minutos"
327       "O evento [Portão do Incubatório] terminará em %d Minutos"
328       "[Portão do Incubatório] fechará em %d Minutos"
329       "[Portão do Incubatório] terminou, aguarde o próximo evento!"
336       "A torre de refino fechará após 60 minuto(s)"
337       "A torre de refino fechará após 20 minuto(s)"
338       "O portão Kanturu foi aberto"
339       "A batalha com Maya está prestes a começar, prepare-se"
340       "A batalha continuará em 1 minuto"
341       "Pesadelo aparece! Destrua-o para abrir o portão da Torre de Refinamento"
342       "O pesadelo foi destruído! A Refinement Tower abriu seus portões"
343       "O tempo expirou, você será teletransportado para fora do evento"
352       "Castle Deep começará em 5 minutos"
353       "Castle Deep começa"
354       "Extremidades profundas do castelo"
355       "%s destruiu Kim Long VIP"
356       "%s foi destruído por %s"
368       "Balgass uniu forças com a frota Kundun e se prepara para atacar a fortaleza Crywolf"
369       "Os guerreiros de Balgass estão prontos para atacar a fortaleza Crywolf"
370       "Um fuzileiro naval Balgass está marchando em direção a uma fortaleza Crywolf"
371       "A frota de Balgass está se aproximando da fortaleza de Crywolf"
372       "Não há Elfos conectados aos altares, deixando a estátua do lobo desprotegida"
373       "Balgass permanecerá vivo até o final da batalha"
374       "A defesa falhou! A estátua sagrada do lobo foi levada por Balgass"
375       "A defesa teve sucesso! A estátua sagrada do lobo foi protegida"
376       "O tempo de conexão do Wolf Altar começará em %d segundos"
377       "O tempo de conexão do Wolf Altar começará em %d minutos"
378       "Balgass Armada atacará em segundos %d"
379       "Balgass Armada atacará em minutos %d"
380       "Sem a proteção dos Elfos, a estátua sagrada do lobo ficou desprotegida"
381       "Balgass está chegando! Proteja a estátua sagrada do lobo"
382       "Armg Balgass começa a atacar a Estátua do Lobo Sagrado"
383       "A frota de Balgass foi derrotada com a ajuda dos heróis"
384       "Classificação MvP: %d"
385       "Experiência MvP: %d"
386       "Balgass foi morto por %s!"
387       "Balgass foi morto!"
388       "O Elfo Negro %d foi morto por %s!"
389       "Ponto MvP: %d"
390       "Conectado ao Altar %d"
391 "%s está conectado ao altar %d"
392 "Altar %d está conectado"
393 "O tempo de conexão do pedestre %d ainda não começou"
394 "Altar %d foi conectado mais de 2 vezes"
395 "O local para conectar ao altar %d está errado"
396 "%s está tentando se conectar ao altar %d"
397 "Você estará conectado ao altar em 5 segundos"
398 "Não se mova até que a conexão seja concluída"
399 "A conexão com o altar %d foi cancelada"
400 "A barreira da estátua sagrada do lobo desapareceu"
401 "Número de conexões: %d, Vida da estátua: %d"
402 "A barreira da estátua sagrada do lobo foi criada"
403 "A conexão requer Elfa nível 260 ou superior"
416 "O cerco ao castelo terminou"
417 "O registro do Castle Siege começou"
418 "O período de registro do emblema Castle Siege começou"
419 "O período de seleção do Castle Siege Guild começa"
420 "A seleção do clã Castle Siege foi concluída"
421 "O tempo de preparação para Castle Siege já começou"
422 "Castle Siege começará em %d minutos"
423 "Castle Siege está sendo jogado"
424 "Guilda %s conseguiu defender o castelo"
425 "Guild %s torna-se a nova proprietária do castelo"
426 "O dono do castelo não foi identificado"
427 "Apenas o guardião da estátua"
432 "A posição do jogador %s foi alterada para Líder Assistente da Guilda"
433 "A posição do jogador %s foi alterada para Battlemaster"
434 "A posição do jogador %s foi alterada para Membro da Guilda"
435 "Tipo de guilda %s alterado para %d"
436 "A guilda se juntou à aliança %s"
437 "A guilda é inimiga da guilda %s"
438 "Guilda %s juntou-se à aliança %s"
439 "A guilda retirou-se da guilda"
440 "Guild %s retirou-se da aliança %s"
441 "A guilda não possui mais a aliança %s"
442 "A guilda não é mais inimiga da guilda %s"
443 "A aliança % s foi quebrada"
448 "Você não pode invocar Life Stones fora do Castle Siege"
449 "Somente alianças atacantes podem invocar Life Stones"
450 "Uma pedra da vida foi convocada"
451 "Você não pode invocar Life Stones na Dragon Tower"
452 "Life Stone foi convocada com sucesso"
453 "Pedra da Vida não foi chamada"
464 "Você não pode convocar soldados fora do Castle Siege"
465 "Somente a aliança defensora pode convocar soldados"
466 "Somente o líder do clã e seu assistente podem convocar o soldado"
467 "Número máximo de soldados excedido"
468 "O soldado foi convocado com sucesso"
469 "O soldado não foi convocado"
480 "O servidor está fechado"
481 "O servidor entrará em manutenção em %d segundos"
482 "Este é um item duplicado, entre em contato com o administrador"
483 "Seu bloqueio de bate-papo terminou"
484 "Você sairá em %d segundos"
485 "A autodefesa contra %s começou"
486 "A autodefesa contra %s acabou"
487 "O servidor passará por manutenção em 1 minuto"
488 "O servidor passará por manutenção em 3 minutos"
489 "O servidor passará por manutenção em 5 minutos"
490 "A partida começará automaticamente após 10 segundos"
491 "%s ganha a joia %d"
492 "%s matou Fenix"
493 "Você ganhou pontos de evento %d e %d Gold"
494 "%s mata um ouro"
495 "Você ganhou pontos de evento %d e %d Gold"
496 "%s matou Erohim"
497 "Você ganhou pontos de evento %d e %d Gold"
498       ""
499 "Remova Errtels antes de definir"
500 "[Rei de MU] O evento começou"
501 "[Rei de MU] O evento terminou"
502 "[King MU] Começa em minutos %d"
503 "[King of MU] Guild %s capturou o castelo!"
504 "[King MU] Começa em %d segundos"
505 " "
506 "Você não é membro da guilda!"
507 "Sua guilda já é dona do castelo!"
508 "Você não está nas coordenadas corretas!"
509 "Seu clã deve ter pelo menos membros %d!"
510 "Parabéns! Sua guilda agora é dona do castelo!"
511 "[King of MU] Terminou em minutos %d!"
512 " "
513 "Inventário excluído com sucesso!"
514 "MuOnline Dev por Muonline Vietnã"
515 "[%s] Matar [%s]-[%s]"
516 "[%s] Matar [%s]-[%s]"
517 ""
518 "Você não tem permissão para usar /setvip"
519 "VIP adicionado com sucesso!"
520 "Esta conta não existe!"
521 "%s Você não precisa mais da minha ajuda"
522 "%s Seu pacote vip não permite que este buff seja usado"
523 "%s Solicitações Zen: %d"
524 "%s GBCoin necessária: %d"
525 "%s Você deve ser da família Vanert"
526 "%s Você deve ser da família Duprian"
527 "%s Você deve ser da família Duprian"
528 "%s Você precisa ser da família Vanert"
529 "%s Pontos essenciais da família: %d"
530 "Tempo %s: %d Minuto(s)"
531 "%s Excluído %d Zen"
532 "%s Remover PCPoint(s) %d"
533 "Buff de %s aplicado!"
565 "%s Item de troca Exc Receber %d WcoinC %d WcoinP"
602 "Você não pode se casar 0,0!"
603 "Você acabou de se casar com %s!"
604 "Você é casado!"
605 "O outro personagem é casado!"
606 "Uso: [/marry para 'nome; | Divórcio /marry | /marry faixa ou rastreamento]!"
607 "Você não pode se divorciar na primeira semana de casamento!"
608 "Você acabou de se divorciar!"
609 "Você ainda não é casado!"
610 "Você está acompanhando!"
611 "Movimento bem sucedido!"
612 "%s acabou de se casar com %s!"
613 "%s acabou de se divorciar de %s!"
614 "[Sistema de casamento] Parabéns"
615 "entre %s e %s!"
616 "[Sistema de casamento] Homo não é permitido"
617 "Você precisa de pelo menos o nível %d para usar este comando!"
618 "Ele /Cô precisa de pelo menos nível %d para usar este comando!"
619 "O sistema de casamento foi desativado!"
620 "Você precisa de pelo menos %d zen para usar este comando!"
621 "Você precisa estar na posição certa no Devias2!"
622 "Sua mira precisa estar na posição certa no Devias2!"
623 "Informações: [Nível mínimo: %d | Custo de rastreamento e rastreamento: %d zen]!"
624 "Você não pode se divorciar enquanto ele /cô estiver desconectado!"
625 "Esse personagem não está online!"
626 "Skin %d aplica-se ao jogador %d!"
627 "O personagem %s não está online!"
628 " "
629	"[%s] Gire as joias e ganhe %s!" 
630 "Você precisa estar em %d para usar este comando!"
631 "Permitido apenas para uso dentro da cidade!"
632 "Você e seu oponente devem estar no nível %d para duelar!"
633 "Pedido não ativado para sua conta!"
634 "Comando: [/class dw, dk, elf, mg, dl, su]"
635 "Você deve escolher uma turma diferente da sua!"
636 "Você precisa remover todos os seus pertences primeiro!"
637 "Aula não disponível!"
638 "Solicitação de redefinição: %d!"
639 "[GM] %s acabou de ficar online!"
640 "%s está online!"
641 "Você não tem permissão para usá-lo!"
642 "Personagem não encontrado!"
643 "Comando: [TIPO DE VALOR de recompensa /phần]"
644 "Tipo de prêmio não disponível!"
645 "O bônus é maior do que o permitido!"
646 "Prêmio adicionado com sucesso!"
647 "Você não pode se recompensar!"
648 "Comando: [/tải digite novamente | Ex: /tải juntos]"
649 "Recarga concluída com sucesso!"
650 "Comando: [valor do prêmio /loại]"
651 "Nomeie no mínimo 4 caracteres ou no máximo 10 caracteres."
652 "Esse nome já existe."
653 "Aguarde %d segundos para usar novamente."
654 "Esse nome já existe!"
655 "Nome alterado com sucesso!"
656 "O nome não muda!"
657 "O personagem %s mudou seu nome para %s!"
658 "Você deve sair do clã para mudar seu nome."
659 "Você não pode usá-lo agora."
660 "[RÁPIDO] Comece em %s!"
661 "[RÁPIDO] O evento termina em %d minutos!"
662 "[RÁPIDO] O evento termina em %d segundos!"
663 "[RÁPIDO] Vencedor %s!"
664 "[RÁPIDO] Fim do evento - Sem vencedor!"
665 "[RÁPIDO] Siga o acorde x %d y %d"
666 "[RÁPIDO] Fim do evento - O evento foi cancelado!"
667 "Erro proibido!"
668 "Conta banida com sucesso!"
669 "Personagem banido com sucesso!"
670 "[EVEN] Fechado em %d segundos"
671 "[MESMO] O tempo de participação acabou!"
672 "[MESMO] Cancelado!"
673 "[MESMO] %s iniciou um evento!"
674 "[EVENTOS] Entre em /Tham para participar!"
675 "[MESMO] Participante %s adicionado!"
676 "[Encontrar GM] Termina em %d segundos"
677 "[Encontrar GM] Terminou sem vencedor!"
678 "[Encontrar GM] Cancelado!"
679 "[Procure GM] %s iniciou o evento!"
680 "[Encontrar GM] Procure GM e negocie!"
681 "[Encontre GM] %s venceu o evento!"
682 "O evento [Encontrar GM] termina em %d minutos!"
683 "[PEGAPEGA] Está fechado!"
684 "[PEGAPEGA] O evento começou. Foi rejeitado!"
685 "[PEGAPEGA] Acabou o tempo!"
686 "[PEGAPEGA] Cancelado!"
687 "[PEGAPEGA] Aberto!"
688 "[PEGAPEGA] Digite /muốn para participar!"
689 "[PEGAPEGA] Participante %s adicionado!"
690 "[PEGAPEGA] %s venceu o evento!"
691 "[PEGAPEGA] %s foi capturado!"
692 "[Missão %d] Você deve estar no nível %d ou +!"
693 "[Quest %d] Você deve ter %d Reset(s) ou +!"
694 "[Missão %d] Você deve ter %d Master Reset(s) ou +!"
695 "[Missão %d] Você deve ter %d zen ou +!"
696 "[Quest %d] Você deve visitar %s (x %d, y %d)!"
697 "[Missão %d] Você não tem o plano VIP necessário!"
698 "[Missão %d] Item necessário: %s!"
699 "[Missão %d] Você deve matar %d %s (Faltando: %d)!"
700 "[Missão] Parabéns, você completou todas as missões!"
701 "[Missão %d] Concluída! Você ganhou: %d WC, %d WP, %d GP!"
702 "Parabéns por receber um presente!"
703 "Você recebeu todos os seus presentes!"
704 "[Viva ou morra] Fechado!"
705 "O evento [Live Or Die] começou!"
706 "[Viva ou morra] O tempo acabou!"
707 "[Viva ou morra] Cancelado!"
708 "[Live Or Die] Aberto (máximo de participantes: %d)!"
709 "[Viva ou morra] Digite /thamgia"
710 "[Live Or Die] %d Participante: %s adicionado!"
711 "[Live Or Die] %s venceu o evento!"
712 "[Live Or Die] Coloque a bala no tambor...!"
713 "[Viva ou morra] Gire o tambor...!"
714 "[Viva ou morra] Ative...!"
715 "[Viva ou morra] FOGO!"
716 "[Live Or Die] HeadShot %s foi removido!"
717 "[Viva ou morra] %s escapou ileso!"
718 "Prêmio [Rei de MU]!!!!"
719 "[MU King] Guild %s venceu este evento!"
720 "[King of MU] Tempo do proprietário: %d minuto(s)!"
721 "[King MU] Todos os membros da guilda online ganharam:"
722 "[Rei de MU] 10 WC!!!"
723 "[King of MU] Personagem com mais conquistas:"
724 "[MU King] %d °: %s (Guilda: %s)!"
725 "[MU King] ganha 10 banheiros todas as vezes!"
726 "[Rei do MU] Não há vencedor!"
730 "Conta + %d WC !"
731 "Conta + %d WP!"
732 "Conta + %d GP!"
733 "Nome: [/top tipo classe | Ej: /top rr dk]"
734 "Comando: [Classe: dk, dw, fe, mg, dl, su]"
735 "Sem resultados!"
736 "%d ° Conjunto: %s ( %d)"
737 "Os pontos são redistribuídos"
738 "%s alcançou a classificação de %s!"
739 "Você alcançou a classificação de %s!"
740 "Fiquei desabilitado =("
741 "Você deve ter 64 peças do mesmo tipo em estoque"
742 "Obrigado, peguei os itens e entreguei seu prêmio."
743 "Desculpe, não estou interessado nesses itens."
744 "Você trocou seus itens por um prêmio!"
745 "[%s] Começa em %d minutos!"
746 "[%s] Pergunta: (Use /traloi para responder)"
747 "[%s] %s"
748 "[%s] %s venceu o evento!"
749 "[%s] Não há vencedor!"
750 "[%s] Resposta errada!"
751 "[%s] Resposta: %s"
752 "[PickUp %s] Habilitado!"
753 "[PickUp %s] Desativado!"
754 "[PickUp] Desativar!"
755 " Redefinir pontos mestre com sucesso!"
756 " Erro! Não é possível redefinir os pontos mestres!"
757 "[CompreVip] Você não tem a quantidade necessária para comprar!"
758 "[CompreVip] Parabéns por registrar %s!"
759 "[CompreVip] O pacote que você escolher está abaixo do seu pacote atual!"
760 "Obteve %d WC da sua conta!"
761 "Obteve %d WP da sua conta!"
762 "Obteve %d GP da sua conta!"
763 "Você não pode usar ataques personalizados quando o MuHelper está ativado!"
764 "Você não pode usar o MuHelper com ataques personalizados ativos!"
765 "Não pode ser usado no nível acima: %d"
766 "Valor de uso: %d WC!"
767 "Valor utilizado: %d WP!"
768 "Valor de uso: %d GP!"
769 "A equipe da aliança venceu o evento!"
770 "A equipe Phantom venceu o evento!"
771 "[DesligadoPvp] Ativado"
772 "[DesligadoPvp] Desativado"
773 "[Bloqueio de item] Ative o bloqueio de item!"
774 "[Bloqueio de item] Senha com no máximo 8 caracteres!"
775 "[Item Lock] Habilitado, use /unlock para desbloquear!"
776 "[Bloqueio de item] Desativado!"
777 "[Bloqueio de item] Senha inválida!"
778 "[Item Lock] Desbloqueie antes da operação"
779 "Você só pode ativar comandos na zona segura"
780 "Lojas individuais estão vazias ou os itens não têm preços"
781 "ATENÇÃO!! Itens vendidos usando Jewel of Bless"
782 "ATENÇÃO!! Itens vendidos usando Jewel of Soul"
783 "ATENÇÃO!! Itens vendidos usando Jewel of Chaos"
784 "ATENÇÃO!! Itens vendidos usando WCoinC"
785 "ATENÇÃO!! Itens vendidos usando WCoinP"
786 "ATENÇÃO!! Os itens são vendidos em Gobilpoin"
787 "Você precisa abrir uma Loja Pessoal primeiro"
788 "O comando será executado em %d minuto(s)"
789 "O período de uso da loja expirou"
790 "[Ataque] Desativado"
791 "[Ataque] Você não pode usar esta posição"
792 "[Ataque] Você não tem a habilidade necessária para usar"
793 "[Ataque] Tempo de lançamento: %d minuto(s)"
794 "[Ataque] O tempo acabou"
795 "[Ataque] Habilitado"
796 "[OffAttack] Você deve habilitar /tấn primeiro"
797 "[OffAttack] Você não pode usar este local"
798 "Esta associação não existe!"
799 "[PvP] Acabou o tempo!"
800 "[PvP] Cancelado!"
801 "[PvP] %s x %s começou!"
802 "[PvP] %s %d x %d %s!"
803 "[PvP] %s venceu o evento!"
804 "[PvP] Começou!"
805 "[MataMata] Fechado!"
806 "[MataMata] Evento começa!"
807 "[MataMata] Acabou o tempo!"
808 "[MataMata] Cancelado!"
809 "[MataMata] Aberto (Máximo de Participantes: %d)!"
810 "[MataMata] Digite /muốn para participar!"
811 "[MataMata] Jogador %d: %s adicionado!"
812 "[MataMata] 1º - %s (pontos %d)!"
813 "[MataMata] 2 - - %s (pontos %d)!"
814 "[MataMata] 3º - %s (pontos %d)!"
815 "[MataMata] Sua posição: %dº (pontos %d)!"
816 "[MataMata] Pontuação: Pontuação %d!"
817 "O novo nome contém texto não permitido!"
818 "Requerido: %d relife para mover."
819 "Você precisa do relife abaixo de %d para mover"
820       "Lệnh: [/paquete (alma, bênção, etc.) (10,20,30)]"
821       "Lệnh: [/desempaquetar (alma, bênção, etc.) (10,20,30)]"
822 "Você não possui os itens necessários."
823 "O comando foi concluído com sucesso."
824 "Você não tem espaço no armazém."
825 "[TvTEvent] será encerrado em %d minutos"
826 "O evento não é para pessoas com festa"
827 "[TvTEvent] fechou!"
828 "[TvTEvent] começa em %d minutos"
829 "[TvTEvent] começou!"
830 "[TVTV] terminou!"
831 "[TvTEvent] Você não pode participar!"
832 "[TvTEvent] Não abra!"
833 "[TvTEvent] Você não possui os itens necessários para importar!"
834 "Você não tem dinheiro suficiente para comprar este item!"
835 "Não permitido no comércio!"
836 "%d Desconto Zen ao usar o comando!"
837 "Valores utilizados: %d WC, %d WP, %d GP!"
838 "Digite novamente o comando se quiser usá-lo!"
839 "Outro usuário da guilda está com o baú aberto!"
840 "Você não tem permissão para usar Baús de Guilda!"
841 "%s baniu o personagem %s na época de %d!"
842 "%s baniu a conta do personagem %s por dias %d!"
843 "[AntiHack] SpeedHack detectado!"
844 	"[Negociação] Valor necessário: %d Zen!"
845 	"[Troca] Valor necessário: %d WC!"
846 	"[Transação] Valor necessário: %d WP!"
847 	"[Negociação] Valor necessário: %d GP!"
848 	"[Transação] %s não tem valor obrigatório!"
849 	"[Missão %d] Precisa do dinheiro %d para ser concluída!"
850 	"[Missão %d] Precisa de %d Gold para ser concluída!"
851 	"[Missão %d] Precisa de %d PcPoint para ser concluída!"
852 	"[Missão %d] Não há mais estoque para resgatar seu prêmio!"
853 	"[Missão %d] Buff está ativo, faça a seguinte missão!"
854 	"Mate o monstro %d para completar a missão!"
855 	"Missão cumprida!"
856	 	"[Missão %d] Você não possui a patente necessária!"
857 	"[Missão %d] Morte(s) necessária(s) de %d para continuar!"
